CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,Childwhynotschool_nodocs,Childwhynotschool_nomoney,Childwhynotschool_failedschool,Childwhynotschool_childwork,Childwhynotschool_fearschool,Childwhynotschool_disease,Childwhynotschool_disability,Childwhynotschool_helphome,Childwhynotschool_familynot,Childwhynotschool_noschools,Childwhynotschool_nointerest,Childwhynotschool_pregnancy,Childwhynotschool_nospot,Childwhynotschool_notransport,Childwhynotschool_discrimnation,Childwhynotschool_discrimethnic,Childwhynotschool_finished,Childwhynotschool_recentlyarrive,Childwhynotschool_intransit,Childwhynotschool_noinfo,Childwhynotschool_toolate,Childwhynotschool_nolanguage,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical,whynotMedical_nomoney,whynotMedical_noinsurance,whynotMedical_noID,whynotMedical_noinfo,whynotMedical_feararrested,whynotMedical_distance,whynotMedical_notavailable,whynotMedical_denied,Year
Guatemala,guatemala,NA,dontknow,2,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,5,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,2,3,yes,0,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,1,2,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,6,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,5,2,,1,dontknow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,1,1,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,1,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,1,1,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,2,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,other,NA,stay,1,0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,nicaragua,NA,stay,1,0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,5,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,1,0,
Guatemala,,NA,,NA,NA,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undecided,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,9,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,1,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,nicaragua,NA,dontknow,2,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,
Guatemala,guatemala,NA,relocate,4,3,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,3,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,,NA,,NA,NA,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,1,1,,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,1,,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,5,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,5,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,1,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,2,1,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,1,2,no,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,2,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,honduras,NA,stay,1,2,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,5,1,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,6,2,,1,yes,dontknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,3,2,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,3,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,3,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,3,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,3,1,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,2,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,3,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undecided,,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,2,3,,1,no,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,1,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,6,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,honduras,NA,stay,2,1,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,1,,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,1,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,3,5,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,3,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,3,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,
Guatemala,guatemala,NA,stay,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Agree,0,0,0,0,0,0,0,0,0,0,
Guatemala,nicaragua,NA,stay,1,0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,5,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,4,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,1,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,1,,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,nicaragua,NA,stay,2,1,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,3,,1,dontknow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyDisagree,0,0,1,1,1,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,3,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,salvador,NA,stay,2,2,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,,NA,,NA,NA,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Disagree,0,0,0,0,0,0,0,0,0,0,
Guatemala,other,NA,stay,1,0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyDisagree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,8,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,1,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Undecided,0,0,0,0,0,0,0,0,0,0,
Guatemala,nicaragua,NA,stay,2,1,yes,0,no,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,2,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,2,1,,1,no,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,6,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,1,,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,6,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,3,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,1,1,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,1,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,other,NA,stay,1,0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,dontknow,3,2,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0,
Guatemala,honduras,NA,stay,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,relocate,2,2,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,3,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
Guatemala,guatemala,NA,stay,3,4,,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
